name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
Iván Helguera,Q296975,Helguera.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Helguera.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Helguera.jpg,/media/own-goal-scorers/ivan-helguera.webp,https://commons.wikimedia.org/wiki/File:Helguera.jpg,CC BY 2.5,hywell,https://www.flickr.com/photos/hywell/132150170/,wikidata-commons,2026-06-16T13:24:01.971Z
Iñigo Martínez,Q1028020,UEFA EURO qualifiers Sweden vs Spain 20191015 Inigo Martinez (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Inigo_Martinez_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Inigo_Martinez_%28cropped%29.jpg/330px-UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Inigo_Martinez_%28cropped%29.jpg,/media/own-goal-scorers/inigo-martinez.webp,https://commons.wikimedia.org/wiki/File:UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Inigo_Martinez_(cropped).jpg,CC BY-SA 4.0,Rolandhino1,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Jack Butland,Q313089,Butland 2018.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Butland_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Butland_2018.jpg/330px-Butland_2018.jpg,/media/own-goal-scorers/jack-butland.webp,https://commons.wikimedia.org/wiki/File:Butland_2018.jpg,CC BY-SA 3.0,Антон Зайцев,https://www.soccer.ru/galery/1055080/photo/732849,wikidata-commons,2026-06-16T13:24:01.971Z
Jacob Ramsey,Q63228677,Jacob Ramsey 2021.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Jacob_Ramsey_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Jacob_Ramsey_2021.jpg,/media/own-goal-scorers/jacob-ramsey.webp,https://commons.wikimedia.org/wiki/File:Jacob_Ramsey_2021.jpg,CC BY-SA 4.0,Ardfern,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
James Chester,Q546799,AUT vs. WAL 2016-10-06 (123).jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/AUT_vs._WAL_2016-10-06_%28123%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/AUT_vs._WAL_2016-10-06_%28123%29.jpg/330px-AUT_vs._WAL_2016-10-06_%28123%29.jpg,/media/own-goal-scorers/james-chester.webp,https://commons.wikimedia.org/wiki/File:AUT_vs._WAL_2016-10-06_(123).jpg,CC BY-SA 3.0,"Steindy ( talk ) 16:11, 10 November 2016 (UTC)",Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Jamie Carragher,Q172211,Football against poverty 2014 - Jamie Carragher (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Football_against_poverty_2014_-_Jamie_Carragher_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Football_against_poverty_2014_-_Jamie_Carragher_%28cropped%29.jpg/330px-Football_against_poverty_2014_-_Jamie_Carragher_%28cropped%29.jpg,/media/own-goal-scorers/jamie-carragher.webp,https://commons.wikimedia.org/wiki/File:Football_against_poverty_2014_-_Jamie_Carragher_(cropped).jpg,CC BY-SA 3.0,Ludovic Péron,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Jan Bednarek,Q16212492,Jan Bednarek 2018.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Jan_Bednarek_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Jan_Bednarek_2018.jpg,/media/own-goal-scorers/jan-bednarek.webp,https://commons.wikimedia.org/wiki/File:Jan_Bednarek_2018.jpg,CC BY-SA 3.0,Светлана Бекетова,https://www.soccer.ru/galery/1055900/photo/734284,wikidata-commons,2026-06-16T13:24:01.971Z
Jason Euell,Q982625,Jason euell.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Jason_euell.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Jason_euell.jpg,/media/own-goal-scorers/jason-euell.webp,https://commons.wikimedia.org/wiki/File:Jason_euell.jpg,CC BY-SA 2.0,wonker,https://www.flickr.com/photos/wonker/238632174/in/set-72157594276579053/,wikidata-commons,2026-06-16T13:24:01.971Z
Jesús Vallejo,Q17987582,(Vallejo) Ofrenda de la Liga y la Champions-11-L.Millán (52109312343) (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/%28Vallejo%29_Ofrenda_de_la_Liga_y_la_Champions-11-L.Mill%C3%A1n_%2852109312343%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/%28Vallejo%29_Ofrenda_de_la_Liga_y_la_Champions-11-L.Mill%C3%A1n_%2852109312343%29_%28cropped%29.jpg/330px-%28Vallejo%29_Ofrenda_de_la_Liga_y_la_Champions-11-L.Mill%C3%A1n_%2852109312343%29_%28cropped%29.jpg,/media/own-goal-scorers/jesus-vallejo.webp,https://commons.wikimedia.org/wiki/File:(Vallejo)_Ofrenda_de_la_Liga_y_la_Champions-11-L.Mill%C3%A1n_(52109312343)_(cropped).jpg,CC BY 2.0,Fotografías Archimadrid.es,Ofrenda de la Liga y la Champions-11-L.Millán,wikidata-commons,2026-06-16T13:24:01.971Z
Jlloyd Samuel,Q281713,Jlloyd Samuel.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Jlloyd_Samuel.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Jlloyd_Samuel.jpg/330px-Jlloyd_Samuel.jpg,/media/own-goal-scorers/jlloyd-samuel.webp,https://commons.wikimedia.org/wiki/File:Jlloyd_Samuel.jpg,CC BY 4.0,Javid Nikpour,https://www.tasnimnews.ir/fa/news/1392/06/03/125598,wikidata-commons,2026-06-16T13:24:01.971Z
