id,player_id,player,direction,date,date_precision,season,club,club_id,fee_gbp,fee_raw,fee_kind,market_value_eur,type
2004-07-01-fraizer-campbell-in,fraizer-campbell,Fraizer Campbell,in,2004-07-01,day,2004-05,,,,,none,,youth
2004-07-01-giuseppe-rossi-in,giuseppe-rossi,Giuseppe Rossi,in,2004-07-01,month,2004-05,AC Parma,ac-parma,,£,unknown,,permanent
2004-07-01-jonny-evans-in,jonny-evans,Jonny Evans,in,2004-07-01,day,2004-05,,,,,none,,youth
2004-07-01-nicky-butt-out,nicky-butt,Nicky Butt,out,2004-07-01,month,2004-05,Newcastle United,newcastle-united,2500000,£2.5m,fee,,permanent
2004-07-01-ryan-shawcross-in,ryan-shawcross,Ryan Shawcross,in,2004-07-01,day,2004-05,,,,,none,,youth
2004-07-14-mark-lynch-out,mark-lynch,Mark Lynch,out,2004-07-14,day,2004-05,Sunderland,sunderland,,£,unknown,,permanent
2004-08-03-luke-chadwick-out,luke-chadwick,Luke Chadwick,out,2004-08-03,day,2004-05,West Ham United,west-ham-united,,£Free,free,,permanent
2004-08-21-diego-forlan-out,diego-forlan,Diego Forlán,out,2004-08-21,day,2004-05,Villareal,villareal,,£,unknown,,permanent
2004-08-31-wayne-rooney-in,wayne-rooney,Wayne Rooney,in,2004-08-31,day,2004-05,Everton FC,everton-fc,20000000,£20m,fee,37000000,permanent
2005-01-31-eric-djemba-djemba-out,eric-djemba-djemba,Eric Djemba-Djemba,out,2005-01-31,day,2004-05,Aston Villa,aston-villa,2100000,£2.1m,fee,,permanent
2005-05-27-daniel-nardiello-out,daniel-nardiello,Daniel Nardiello,out,2005-05-27,day,2004-05,,,,£Free,free,,released
2005-06-15-roy-carroll-out,roy-carroll,Roy Carroll,out,2005-06-15,day,2004-05,West Ham United,west-ham-united,,£Free,free,,permanent
2005-06-16-ricardo-out,ricardo,Ricardo,out,2005-06-16,day,2004-05,Osasuna,osasuna,,£Free,free,,permanent
2005-06-28-michael-stewart-out,michael-stewart,Michael Stewart,out,2005-06-28,day,2004-05,,,,,unknown,,released
2005-06-29-paul-tierney-out,paul-tierney,Paul Tierney,out,2005-06-29,day,2004-05,Livingstone,livingstone,,£Free,free,,permanent
2005-07-01-ben-foster-in,ben-foster,Ben Foster,in,2005-07-01,month,2005-06,Stoke City,stoke-city,1000000,£1m,fee,,permanent
2005-07-01-edwin-van-der-sar-in,edwin-van-der-sar,Edwin van der Sar,in,2005-07-01,month,2005-06,Fulham,fulham,,£Undisclosed fee,undisclosed,,permanent
2005-07-01-james-chester-in,james-chester,James Chester,in,2005-07-01,day,2005-06,,,,,none,,youth
2005-07-08-ji-sung-park-in,,Ji-Sung Park,in,2005-07-08,day,2005-06,PSV Eindhoven,psv-eindhoven,4000000,£4.0m,fee,,permanent
2005-08-04-phillip-neville-out,,Phillip Neville,out,2005-08-04,day,2005-06,Everton,everton,3000000,£3m,fee,,permanent
2005-08-11-j-out,,J,out,2005-08-11,day,2005-06,Besiktas,besiktas,2500000,£2.5m,fee,,permanent
2006-01-05-nemanja-vidic-in,nemanja-vidic,Nemanja Vidić,in,2006-01-05,day,2005-06,Spartak Moscow,spartak-moscow,7200000,£7.2m,fee,8500000,permanent
2006-01-10-patrice-evra-in,patrice-evra,Patrice Evra,in,2006-01-10,day,2005-06,AS Monaco,as-monaco,5500000,£5.5m,fee,,permanent
2006-06-01-mads-timm-out,mads-timm,Mads Timm,out,2006-06-01,month,2005-06,Odense Boldklub,odense-boldklub,,£Free,free,,permanent
2006-06-15-jonathan-spector-out,jonathan-spector,Jonathan Spector,out,2006-06-15,day,2005-06,West Ham United,west-ham-united,500000,£500,fee,,permanent
2006-06-23-edward-johnson-out,,Edward Johnson,out,2006-06-23,day,2005-06,Bradford City,bradford-city,,£Free,free,,permanent
2006-06-26-quinton-fortune-out,quinton-fortune,Quinton Fortune,out,2006-06-26,day,2005-06,Bolton Wanderers,bolton-wanderers,,£Free,free,,permanent
2006-07-01-ben-amos-in,ben-amos,Ben Amos,in,2006-07-01,day,2006-07,,,,,none,,youth
